case,kow0,kdw,
"CAS100986-85-4", 0.10000    , 0.51682E-08,
"CAS138402-11-6",  4.5000    , 0.10573E-06,
"CAS298-46-4",  2.3650    , 0.25042E-07,
"CAS50-78-2",  1.3148    , 0.10542E-05,
"CAS56-75-7",  1.0200    , 0.11320E-06,
"CAS59-67-6", 0.48000    , 0.63419E-06,
"CAS723-46-6", 0.77000    , 0.12966E-06,
"CAS84057-84-1",  1.6800    ,  0.0000    ,
"CAS76824-35-6",-0.64500    , 0.38827E-07,
"CAS68-35-9",-0.80000E-01, 0.46848E-08,
"CAS94-36-0",  3.4650    , 0.10725E-05,
"CAS101200-48-0",  1.4664    , 0.70801E-07,
"CAS104206-82-8", 0.94000    , 0.26582E-06,
"CAS112410-23-8",  4.2450    , 0.11996E-06,
"CAS119168-77-3",  4.5850    , 0.30331E-07,
"CAS123312-89-0", 0.52198    , 0.26358E-06,
"CAS131983-72-7",  3.3700    , 0.49609E-08,
"CAS137-26-8",  1.8450    , 0.24065E-07,
"CAS149961-52-4",  4.1124    , 0.25520E-06,
"CAS16672-87-0",-0.42062    , 0.64031E-08,
"CAS1861-40-1",  5.2500    , 0.24167E-08,
"CAS19937-59-8",  1.8482    , 0.57407E-07,
"CAS2310-17-0",  4.4050    , 0.97503E-08,
"CAS2540-82-1",  1.4550    , 0.90269E-07,
"CAS29973-13-5",  2.1354    , 0.44524E-07,
"CAS33629-47-9",  4.9600    ,  0.0000    ,
"CAS39515-41-8",  5.7200    , 0.37732E-07,
"CAS51218-45-2",  3.2300    , 0.67809E-07,
"CAS55335-06-3",  2.6350    ,  0.0000    ,
"CAS5915-41-3",  2.9950    , 0.24558E-08,
"CAS668-34-8",  6.5800    , 0.26272E-07,
"CAS71626-11-4",  3.7965    , 0.10860E-06,
"CAS76674-21-0",  2.3000    ,  0.0000    ,
"CAS82560-54-1",  4.2200    , 0.31278E-07,
"CAS86-50-0",  2.8800    , 0.11314E-07,
"CAS950-37-8",  1.9300    , 0.32679E-07,
"CAS10605-21-7",  1.5350    , 0.11857E-07,
"CAS10453-86-8",  6.4450    , 0.52032E-07,
"CAS132-66-1",  3.4100    , 0.35007E-06,
"CAS3689-24-5",  3.8650    , 0.35007E-06,
"CAS15299-99-7",  3.3502    , 0.11326E-05,
"CAS49866-87-7", 0.71000    , 0.11326E-06,
"CAS67564-91-4",  5.0266    , 0.55442E-08,
"CAS95617-09-7",  3.6679    , 0.11326E-05,
"CAS100-01-6",  1.3500    ,  0.0000    ,
"CAS100-61-8",  1.6977    , 0.58403E-08,
"CAS102-71-6", -1.0900    , 0.67076E-08,
"CAS104-76-7",  2.9482    , 0.29088E-06,
"CAS105-99-7",  3.7450    , 0.10194E-05,
"CAS106-50-3",-0.19500    ,  0.0000    ,
"CAS108-67-8",  3.6150    , 0.63424E-08,
"CAS110-65-6",-0.93000    , 0.16563E-06,
"CAS111-46-6", -1.1950    , 0.20414E-05,
"CAS112-02-7",  2.8000    , 0.45869E-06,
"CAS112-50-5",-0.27500    , 0.69519E-06,
"CAS119-64-2",  3.9250    , 0.23749E-07,
"CAS121-32-4",  1.6000    , 0.65975E-06,
"CAS123-31-9", 0.69835    , 0.18614E-05,
"CAS126-73-8",  3.7800    , 0.26272E-07,
"CAS13674-84-5",  2.6100    , 0.14564E-07,
"CAS141-98-0",  1.7400    , 0.40408E-08,
"CAS149-30-4",  2.4100    , 0.53844E-08,
"CAS2156-97-0",  6.0250    , 0.55828E-06,
"CAS26159-31-9",  2.9800    , 0.80067E-08,
"CAS298-06-6",  2.3797    , 0.19824E-07,
"CAS4180-23-8",  3.0700    , 0.11320E-06,
"CAS51-03-6",  4.1150    , 0.55867E-06,
"CAS554-00-7",  2.7500    ,  0.0000    ,
"CAS5989-27-5",  4.3950    , 0.57222E-06,
"CAS623-03-0",  2.3280    , 0.53186E-08,
"CAS6485-40-1",  2.5300    , 0.26358E-06,
"CAS70969-58-3",  4.0600    , 0.31975E-06,
"CAS7747-35-5", 0.36000    , 0.18905E-06,
"CAS78-11-5",  3.3500    , 0.17276E-06,
"CAS791-28-6",  3.2700    , 0.63324E-08,
"CAS81-19-6",  4.2600    , 0.84172E-07,
"CAS85-41-6",  1.0750    , 0.35094E-06,
"CAS88-18-6",  3.3333    ,  0.0000    ,
"CAS89-83-8",  3.2286    , 0.26101E-07,
"CAS91-20-3",  3.3025    , 0.11500E-07,
"CAS94-96-2",  1.4029    , 0.46133E-06,
"CAS95-74-9",  2.2619    , 0.68827E-08,
"CAS96-45-7",-0.50500    , 0.62708E-08,
"CAS98-17-9",  2.7100    , 0.34884E-08,
"CAS99-54-7",  3.1050    , 0.22868E-08,
"CAS60-12-8",  1.5080    , 0.74214E-06,
"CAS78-63-7",  5.8472    , 0.35975E-07,
"CAS80-07-9",  3.8150    ,  0.0000    ,
"CAS85-42-7", 0.35000    , 0.27856E-07,
"CAS89-04-3",  11.695    , 0.82707E-06,
"CAS92-70-6",  3.3550    , 0.36301E-07,
"CAS94-91-7",  3.2600    , 0.11326E-05,
"CAS96-93-5", -1.2300    , 0.35007E-05,
"CAS98-44-2", -1.8200    , 0.11326E-05,
"CAS99-76-3",  2.0317    , 0.61194E-06,
"CAS101-43-9",  3.2900    , 0.60094E-06,
"CAS102-36-3",  3.7900    , 0.26303E-07,
"CAS103-60-6",  2.5300    , 0.59251E-06,
"CAS105-05-5",  4.1650    , 0.11956E-07,
"CAS106-79-6",  2.9200    , 0.11112E-05,
"CAS108-78-1", -1.1642    , 0.16228E-06,
"CAS110-64-5",-0.84000    , 0.42447E-05,
"CAS111-88-6",  4.4400    , 0.81036E-07,
"CAS112-41-4",  5.9250    , 0.64129E-06,
"CAS112-76-5",  8.1118    , 0.11326E-05,
"CAS117-21-5",  1.8893    , 0.11326E-05,
"CAS119-17-5",-0.60000    , 0.11326E-05,
"CAS122-00-9",  2.0981    , 0.83568E-06,
"CAS123-26-2",  10.620    , 0.33879E-06,
"CAS124-30-1",  7.4800    , 0.53270E-06,
"CAS141-18-4",  3.6100    , 0.80954E-06,
"CAS144-19-4",  1.3082    , 0.33708E-07,
"CAS372-09-8",-0.60500    , 0.43720E-06,
"CAS540-97-6",  6.0479    , 0.35007E-08,
"CAS608-25-3",  1.2250    , 0.11326E-04,
"CAS622-58-2",  2.8200    , 0.11326E-05,
"CAS629-73-2",  7.9250    , 0.63722E-06,
"CAS693-23-2",  2.6957    , 0.15548E-05,
"CAS778-94-9",  2.4100    , 0.11326E-05,
"CAS919-30-2", 0.70000    , 0.27103E-06,
"CAS947-04-6",  3.0800    , 0.29279E-06,
"CAS1072-63-5", 0.74000    , 0.10028E-06,
"CAS1333-07-9", 0.88270    , 0.11461E-07,
"CAS1724-39-6",  3.7000    ,  0.0000    ,
"CAS1889-67-4",  5.9500    , 0.11326E-05,
"CAS2162-74-5",  8.3900    , 0.35007E-06,
"CAS2370-88-9",  2.5600    , 0.35007E-08,
"CAS2439-35-2", 0.88000    , 0.34655E-06,
"CAS2550-06-3",  4.8000    , 0.11326E-06,
"CAS2705-87-5",  4.1900    , 0.73601E-06,
"CAS2943-75-1",  4.2400    , 0.30115E-06,
"CAS3081-01-4",  4.7700    , 0.39735E-08,
"CAS3234-85-3",  12.485    , 0.10514E-05,
"CAS3576-88-3", -1.3200    , 0.11326E-06,
"CAS3779-63-3",  4.4000    , 0.84448E-07,
"CAS4245-76-5",-0.81000    , 0.11326E-05,
"CAS4488-57-7",  3.3600    , 0.53484E-07,
"CAS4948-15-6",  7.4700    , 0.11326E-06,
"CAS5280-68-2",  7.4500    , 0.35007E-06,
"CAS5521-31-3",  3.6885    , 0.11326E-06,
"CAS6197-30-4",  6.3400    , 0.78652E-07,
"CAS6386-38-5",  5.0500    , 0.20310E-07,
"CAS6528-34-3",  2.9900    , 0.35007E-06,
"CAS6925-69-5",  3.6660    , 0.35007E-06,
"CAS7328-22-5",  2.2000    , 0.59514E-06,
"CAS7659-86-1",  3.6800    , 0.18657E-06,
"CAS10420-33-4", 0.15000    , 0.94717E-06,
"CAS13122-18-4",  4.4100    , 0.35007E-05,
"CAS13752-51-7", 0.19000    , 0.11326E-05,
"CAS15267-95-5",  1.3950    , 0.11326E-05,
"CAS15993-42-7",  3.7000    , 0.35007E-06,
"CAS17865-07-5",  1.3670    , 0.35007E-05,
"CAS19234-20-9",  1.0000    , 0.12342E-06,
"CAS21542-96-1",  9.9300    , 0.15428E-06,
"CAS23847-08-7",  1.6700    , 0.35007E-06,
"CAS24863-70-5",  3.2300    , 0.35007E-06,
"CAS26523-78-4",  19.760    , 0.11326E-05,
"CAS28768-32-3",  2.5300    , 0.60777E-07,
"CAS31570-04-4",  14.711    , 0.11326E-05,
"CAS34316-64-8",  7.2200    , 0.98921E-06,
"CAS36443-68-2",  6.6800    , 0.61241E-07,
"CAS39670-09-2",  1.1050    , 0.56537E-06,
"CAS51167-18-1",  4.3800    , 0.11326E-05,
"CAS54839-24-6", 0.99057    , 0.67303E-06,
"CAS56718-71-9",  1.7900    , 0.96891E-06,
"CAS59227-88-2",  4.3250    , 0.62190E-07,
"CAS62889-66-1",  5.4950    , 0.15730E-06,
"CAS67075-37-0",  7.3546    , 0.24915E-07,
"CAS70356-09-1",  4.5600    , 0.11326E-05,
"CAS74338-72-0",  3.6400    , 0.11326E-05,
"CAS78605-96-6",  4.4700    , 0.36138E-06,
"CAS84170-74-1",  2.8991    , 0.11798E-06,
"CAS87305-03-1",  2.9500    , 0.35007E-05,
"CAS91273-04-0",  5.7200    , 0.35007E-06,
"CAS99189-60-3",  1.0300    , 0.11326E-05,
"CAS106461-41-0",  2.9400    , 0.11326E-05,
"CAS120068-79-3",  3.5900    , 0.11326E-06,
"CAS130755-46-3",  7.8900    , 0.35007E-07,
"CAS137863-20-8",  5.9050    , 0.35007E-06,
"CAS148528-05-6",  1.1100    , 0.35233E-06,
"CAS165184-98-5",  4.8200    , 0.36919E-06,
"CAS186817-80-1",  2.8200    , 0.35007E-05,
"CAS393509-79-0", 0.72000    , 0.11326E-05,
"CAS2554-06-5",  4.9000    , 0.11326E-05,
"CAS10238-21-8",  3.7900    , 0.10715E-06,
"CAS139481-59-7",  4.7404    , 0.28557E-07,
"CAS3380-34-5",  5.0118    ,  0.0000    ,
"CAS51-21-8",-0.67500    , 0.22018E-06,
"CAS56-81-5", -1.6900    , 0.12267E-05,
"CAS59-92-7",-0.59447    , 0.79352E-06,
"CAS72956-09-3",  4.0500    , 0.15597E-06,
"CAS85721-33-1",-0.15000    , 0.62659E-08,
"CAS53-86-1",  4.2137    , 0.15906E-06,
"CAS50-06-6",  1.3700    , 0.44570E-07,
"CAS123-99-9",  1.6350    , 0.40113E-05,
"CAS101205-02-1",  3.7600    , 0.66132E-07,
"CAS10552-74-6",  3.1800    , 0.23296E-06,
"CAS113136-77-9",  2.3221    ,  0.0000    ,
"CAS119446-68-3",  4.3361    ,  0.0000    ,
"CAS123-33-1",-0.86500    ,  0.0000    ,
"CAS133-06-2",  2.3410    , 0.86908E-07,
"CAS138261-41-3", 0.40000    , 0.63295E-07,
"CAS150-68-5",  1.9350    , 0.89470E-08,
"CAS16752-77-5", 0.60000    , 0.12966E-06,
"CAS18691-97-9",  2.2418    , 0.57000E-07,
"CAS2032-65-7",  2.8650    , 0.86161E-08,
"CAS23103-98-2",  1.7150    , 0.21845E-07,
"CAS2593-15-9",  3.1031    , 0.56613E-08,
"CAS300-76-5",  2.1900    , 0.25683E-07,
"CAS33693-04-8",  2.8750    ,  0.0000    ,
"CAS39807-15-3",  4.0200    , 0.78084E-08,
"CAS5234-68-4",  2.0350    , 0.20872E-06,
"CAS55-38-9",  3.8750    , 0.12966E-07,
"CAS60168-88-9",  3.1550    ,  0.0000    ,
"CAS67129-08-2",  2.3050    , 0.62800E-07,
"CAS72178-02-0",  2.9620    , 0.41011E-07,
"CAS786-19-6",  5.3501    , 0.97622E-08,
"CAS82657-04-3",  6.9300    , 0.20343E-06,
"CAS87820-88-0",  4.7900    , 0.59538E-07,
"CAS95266-40-3", 0.83500    , 0.85977E-07,
"CAS470-90-6",  4.0058    , 0.13179E-07,
"CAS87392-12-9",  3.2300    , 0.67809E-07,
"CAS298-00-0",  2.8200    , 0.11326E-05,
"CAS4685-14-7", -4.5800    , 0.35007E-06,
"CAS15457-05-3",  3.7300    , 0.11326E-05,
"CAS50594-66-6",  4.0700    , 0.35007E-06,
"CAS74738-17-3",  3.8700    , 0.11326E-06,
"CAS100646-51-3",  4.3600    , 0.11326E-05,
"CAS100-02-7",  1.7250    , 0.11467E-07,
"CAS100-63-0",  1.2500    , 0.46058E-07,
"CAS102-82-9",  4.0200    , 0.98393E-08,
"CAS104-88-1",  2.2383    , 0.58092E-06,
"CAS106-22-9",  3.5600    , 0.41460E-06,
"CAS106-51-4", 0.22500    , 0.18614E-05,
"CAS108-68-9",  2.3800    , 0.45197E-06,
"CAS110-77-0", 0.80920    , 0.30217E-07,
"CAS111-69-3",-0.12000    , 0.44275E-06,
"CAS112-05-0",  3.4050    , 0.38203E-05,
"CAS112-53-8",  4.9800    , 0.36466E-05,
"CAS119-65-3",  1.9569    , 0.33637E-06,
"CAS121-33-5",  1.2091    , 0.64490E-06,
"CAS123-39-7",-0.85000    , 0.54501E-06,
"CAS128-37-0",  5.0850    , 0.23798E-08,
"CAS13674-87-8",  3.5901    , 0.12208E-07,
"CAS142-62-1",  1.8950    , 0.39520E-05,
"CAS149-57-5",  2.6725    , 0.60365E-06,
"CAS2216-51-5",  3.1700    , 0.31572E-06,
"CAS2691-41-0", -1.4000    , 0.10302E-06,
"CAS298-07-7",  5.1300    , 0.25601E-07,
"CAS4404-43-7",-0.51000    , 0.84222E-08,
"CAS51-28-5",  1.6950    ,  0.0000    ,
"CAS556-67-2",  4.6720    , 0.78775E-08,
"CAS5989-54-8",  4.3950    , 0.57222E-06,
"CAS62-53-3",  1.0969    , 0.42673E-06,
"CAS65-45-2",  1.0600    , 0.26494E-06,
"CAS712-50-5",  3.6500    , 0.17983E-07,
"CAS77501-63-4",  4.6850    , 0.14472E-06,
"CAS78-27-3",  1.5950    , 0.73921E-08,
"CAS79-33-4",-0.60000    , 0.46998E-06,
"CAS818-61-1",-0.13500    , 0.43720E-06,
"CAS85-44-9",  1.5100    , 0.11510E-05,
"CAS88-72-2",  2.3867    , 0.79714E-08,
"CAS89-98-5",  2.2695    , 0.48567E-07,
"CAS91-22-5",  2.0550    , 0.94523E-07,
"CAS95-14-7",  1.3900    , 0.56893E-08,
"CAS95-80-7", 0.34000    ,  0.0000    ,
"CAS97-00-7",  2.0700    , 0.32155E-07,
"CAS98-51-1",  4.4450    , 0.45024E-07,
"CAS99-55-8",  1.5550    , 0.29138E-08,
"CAS68-26-8",  5.9946    , 0.35007E-05,
"CAS78-67-1",  1.6093    , 0.65758E-07,
"CAS80-10-4",  5.4600    , 0.30047E-07,
"CAS85-43-8", 0.12000    , 0.10285E-06,
"CAS89-48-5",  4.2450    , 0.31861E-06,
"CAS92-84-2",  4.1500    , 0.56457E-08,
"CAS95-31-8",  3.7300    , 0.39384E-08,
"CAS96-96-8",  1.7950    , 0.67988E-07,
"CAS98-53-3",  2.7743    , 0.26235E-06,
"CAS99-88-7",  2.2925    , 0.59647E-08,
"CAS101-54-2",  1.9400    , 0.29237E-08,
"CAS102-60-3",-0.52000    , 0.76405E-07,
"CAS103-71-9",  2.4100    , 0.11326E-05,
"CAS105-56-6", 0.20000E-01, 0.71438E-06,
"CAS106-91-2", 0.87500    , 0.72471E-06,
"CAS108-83-8",  2.4805    , 0.24761E-07,
"CAS111-11-5",  3.4400    , 0.97836E-06,
"CAS112-07-2",  1.5400    , 0.73198E-06,
"CAS112-44-7",  4.4300    , 0.37141E-05,
"CAS112-85-6",  9.4950    , 0.34580E-05,
"CAS117-61-3", -2.1800    , 0.35007E-05,
"CAS119-53-9",  2.2200    , 0.10975E-05,
"CAS122-01-0",  2.8000    , 0.11326E-06,
"CAS123-28-4",  11.790    , 0.28238E-06,
"CAS125-12-2",  3.5100    , 0.35007E-05,
"CAS141-27-5",  3.1100    , 0.58092E-06,
"CAS147-85-3",-0.41500    , 0.35007E-05,
"CAS373-44-4", 0.77718    , 0.52061E-06,
"CAS541-02-6",  5.2000    , 0.35007E-08,
"CAS611-19-8",  3.2000    , 0.25763E-08,
"CAS623-40-5",  1.0700    , 0.35007E-06,
"CAS629-82-3",  6.9950    , 0.28642E-06,
"CAS693-36-7",  17.670    , 0.30632E-06,
"CAS793-24-8",  4.2400    , 0.45402E-08,
"CAS923-02-4",-0.41000    , 0.35007E-05,
"CAS947-19-3",  2.4400    , 0.35007E-05,
"CAS1073-69-4",  1.5200    , 0.35007E-06,
"CAS1453-58-3", 0.77000    , 0.35007E-06,
"CAS1738-25-6",-0.10000    , 0.49891E-06,
"CAS1955-46-0",  1.5969    , 0.11326E-05,
"CAS2163-00-0",  3.0900    , 0.17947E-07,
"CAS2380-86-1",  1.6450    , 0.35007E-05,
"CAS2458-08-4",  2.6143    , 0.11326E-05,
"CAS2550-26-7",  1.9900    , 0.63120E-06,
"CAS2752-17-2", -1.2900    , 0.25070E-06,
"CAS2996-92-1",  1.3800    , 0.35007E-06,
"CAS3081-14-9",  6.2100    , 0.51692E-08,
"CAS3290-92-4",  3.6200    , 0.36616E-06,
"CAS3622-84-2",  1.8500    , 0.17069E-06,
"CAS3845-76-9",-0.20000E-01, 0.35007E-05,
"CAS4246-51-9", -1.2600    , 0.49278E-06,
"CAS4500-29-2", 0.77000    , 0.73601E-07,
"CAS4979-32-2",  6.1000    , 0.53842E-08,
"CAS5280-80-8",  9.1400    , 0.35007E-07,
"CAS5578-42-7",  4.9350    , 0.35007E-06,
"CAS6259-76-3",  4.8300    , 0.70312E-06,
"CAS6410-32-8",  6.6500    , 0.35007E-06,
"CAS6600-31-3",  3.4500    , 0.48039E-07,
"CAS6938-94-9",  2.8800    , 0.58261E-06,
"CAS7381-13-7",  1.9000    , 0.11326E-05,
"CAS7695-91-2",  10.510    , 0.11326E-05,
"CAS10563-26-5", -1.4500    , 0.10697E-06,
"CAS13127-18-9",  2.6484    , 0.35007E-05,
"CAS14073-97-3",  2.9600    , 0.31572E-06,
"CAS15396-00-6",  1.1850    , 0.25879E-06,
"CAS16111-62-9",  6.9400    , 0.35007E-06,
"CAS17928-28-8",  6.5200    , 0.35007E-08,
"CAS19438-60-9", 0.76000    , 0.27195E-07,
"CAS21643-42-5",  7.0400    , 0.56220E-06,
"CAS24085-06-1",  1.3600    , 0.11326E-05,
"CAS25013-15-4",  3.3950    , 0.35007E-06,
"CAS26586-02-7", 0.75000    , 0.64129E-06,
"CAS29171-20-8",  2.7500    , 0.11326E-05,
"CAS31775-20-9",  7.0500    , 0.60777E-07,
"CAS34396-03-7",  2.7000    , 0.35007E-06,
"CAS36483-57-5",  2.8500    , 0.11326E-05,
"CAS40306-75-0", -2.4900    , 0.11326E-05,
"CAS51920-12-8",  5.3400    , 0.11326E-05,
"CAS54914-37-3",  5.6400    , 0.35007E-06,
"CAS56962-04-0",  3.4200    , 0.11326E-05,
"CAS59447-55-1",  5.9000    , 0.35007E-05,
"CAS63562-34-5",  1.3500    , 0.35007E-06,
"CAS67151-63-7", 0.72000    , 0.63170E-07,
"CAS70445-33-9",  2.2400    , 0.30492E-06,
"CAS74441-05-7",  1.9800    , 0.11326E-05,
"CAS78850-37-0", 0.34000    , 0.35007E-05,
"CAS84281-74-3",  2.2600    , 0.11326E-05,
"CAS87333-22-0", 0.20000E-01, 0.11326E-05,
"CAS92952-81-3",  1.1200    , 0.35007E-05,
"CAS99591-74-9", -1.0100    , 0.11326E-04,
"CAS106797-53-9",  1.0000    , 0.11326E-05,
"CAS120100-77-8",  2.5544    , 0.11326E-05,
"CAS130841-23-5",  4.7800    , 0.11326E-05,
"CAS138564-59-7",  3.2600    , 0.11326E-05,
"CAS149850-30-6",  3.5300    , 0.35007E-06,
"CAS166524-65-8",  1.3100    , 0.11326E-05,
"CAS204918-22-9",  4.1500    , 0.11326E-05,
"CAS507448-65-9",  2.0700    , 0.35007E-05,
"CAS4130-08-9", 0.81500    , 0.35007E-05,
"CAS103-90-2", 0.41500    , 0.29201E-08,
"CAS15307-86-5",  4.2842    ,  0.0000    ,
"CAS3930-20-9", 0.32000    , 0.14472E-06,
"CAS37350-58-6",  1.8579    , 0.26358E-06,
"CAS57-13-6", -1.6250    , 0.69701E-06,
"CAS60-54-8", -1.2959    , 0.16912E-06,
"CAS738-70-5",  1.1521    , 0.13729E-06,
"CAS86386-73-4", 0.60000    ,  0.0000    ,
"CAS73334-07-3", -2.0850    , 0.16563E-06,
"CAS51-52-5", 0.98000    , 0.24020E-07,
"CAS128-13-2",  3.9633    , 0.33028E-06,
"CAS101-21-3",  3.3100    , 0.11981E-07,
"CAS1071-83-6", -2.3100    , 0.54874E-06,
"CAS113158-40-0",  3.6679    , 0.14872E-07,
"CAS1194-65-6",  2.9104    , 0.32175E-08,
"CAS125116-23-6",  3.7950    , 0.30532E-08,
"CAS133-07-3",  2.8850    , 0.25520E-06,
"CAS139-40-2",  2.9750    ,  0.0000    ,
"CAS153719-23-4",  0.0000    , 0.98513E-08,
"CAS1689-83-4",  3.6250    , 0.17085E-07,
"CAS188425-85-6",  4.5000    , 0.83299E-07,
"CAS21087-64-9",  1.4950    , 0.27201E-07,
"CAS23135-22-0",-0.26500    , 0.17276E-06,
"CAS26225-79-6",  2.3442    , 0.10860E-06,
"CAS301-12-2", 0.32000    , 0.11770E-07,
"CAS34014-18-1",  1.7850    , 0.56597E-07,
"CAS40487-42-1",  4.8250    , 0.31183E-08,
"CAS52-68-6", 0.62000    , 0.36960E-07,
"CAS55512-33-9",  6.6799    , 0.67241E-07,
"CAS60207-90-1",  3.7731    , 0.55614E-08,
"CAS67306-00-7",  5.7050    , 0.10549E-07,
"CAS72490-01-8",  3.9300    , 0.12396E-07,
"CAS79277-27-3",  1.4850    , 0.14737E-06,
"CAS83055-99-6",  2.1300    , 0.22639E-06,
"CAS886-50-0",  3.3950    ,  0.0000    ,
"CAS95465-99-9",  3.9400    , 0.56853E-08,
"CAS52315-07-8",  6.1600    , 0.39207E-07,
"CAS62-73-7",  1.1681    , 0.35007E-06,
"CAS314-40-9",  1.8850    , 0.11326E-05,
"CAS5902-51-2",  1.8000    , 0.35007E-06,
"CAS18181-80-1",  5.1100    , 0.11326E-05,
"CAS51276-47-2", -1.4300    , 0.11326E-05,
"CAS76578-12-6",  3.7600    , 0.11326E-05,
"CAS110488-70-5",  3.2098    , 0.11326E-06,
"CAS100-21-0",  1.6300    , 0.94161E-06,
"CAS100-64-1", 0.97500    , 0.23993E-06,
"CAS103-11-7",  4.0650    , 0.26358E-06,
"CAS104-90-5",  2.1772    , 0.10849E-07,
"CAS106-24-1",  3.4300    , 0.58092E-06,
"CAS1067-33-0",  2.5700    ,  0.0000    ,
"CAS108-69-0",  1.8800    , 0.27750E-06,
"CAS110-93-0",  2.1000    , 0.12248E-05,
"CAS111-70-6",  2.5450    , 0.38570E-05,
"CAS112-18-5",  5.6450    , 0.12366E-06,
"CAS112-54-9",  4.9150    , 0.36633E-05,
"CAS119-80-2",  4.1600    , 0.29769E-07,
"CAS121-57-3",-0.90000    , 0.57441E-08,
"CAS123-42-2", 0.21000    , 0.93503E-06,
"CAS129-00-0",  4.9000    ,  0.0000    ,
"CAS138-59-0", -1.3400    , 0.58687E-06,
"CAS142-90-5",  6.5700    , 0.84359E-06,
"CAS150-76-5",  1.5016    , 0.72210E-06,
"CAS2243-62-1",  1.2950    , 0.26229E-08,
"CAS2809-21-4", -3.5300    , 0.83695E-08,
"CAS3209-22-1",  3.0790    , 0.22923E-08,
"CAS470-82-6",  2.8525    , 0.44037E-08,
"CAS521-18-6",  3.6700    , 0.16563E-06,
"CAS5567-15-7",  7.5400    , 0.12179E-06,
"CAS60-00-4", -1.5400    , 0.50716E-07,
"CAS62-56-6",-0.96000    , 0.27186E-08,
"CAS65-85-0",  1.8700    , 0.10725E-05,
"CAS732-26-3",  6.2250    ,  0.0000    ,
"CAS77-71-4",-0.57000    , 0.18469E-06,
"CAS78-40-0",  1.0050    , 0.26272E-07,
"CAS79-77-6",  3.8150    , 0.62800E-07,
"CAS83066-88-0",  2.8784    ,  0.0000    ,
"CAS85-68-7",  4.7000    , 0.75047E-06,
"CAS88-73-3",  2.4450    ,  0.0000    ,
"CAS90-02-8",  1.6500    , 0.16175E-05,
"CAS91-57-6",  3.8875    , 0.44524E-07,
"CAS95-16-9",  2.1100    , 0.47838E-08,
"CAS95-82-9",  2.7450    , 0.22601E-08,
"CAS97-53-0",  2.4864    , 0.75047E-06,
"CAS98-52-2",  3.0225    , 0.26235E-06,
"CAS99607-70-2",  5.1100    , 0.16563E-06,
"CAS70-55-3", 0.88418    , 0.42532E-07,
"CAS78-69-3",  3.2900    , 0.11326E-05,
"CAS80-43-3",  5.4700    , 0.36138E-07,
"CAS85-73-4",  2.2571    , 0.11326E-05,
"CAS90-05-1",  1.3600    , 0.74077E-06,
"CAS93-17-4",  1.2400    , 0.11326E-05,
